TB1 W0 T0: 
*******************Dumping current state of indices*******************

filter_r_: 0, filter_s_: 1, filter_c_: 0
TB1 W2 T17: filter_r_: 0, filter_s_: 1, filter_c_: 32

TB1 W2 T18: filter_r_: 0, filter_s_: 1, filter_c_: 64

TB1 W2 T19: filter_r_: 0, filter_s_: 1, filter_c_: 96

TB1 W2 T20: filter_r_: 0, filter_s_: 1, filter_c_: 0

TB1 W2 T21: filter_r_: 0, filter_s_: 1, filter_c_: 32

TB1 W2 T22: filter_r_: 0, filter_s_: 1, filter_c_: 64

TB1 W2 T23: filter_r_: 0, filter_s_: 1, filter_c_: 96

TB1 W2 T24: filter_r_: 0, filter_s_: 1, filter_c_: 0

TB1 W2 T25: filter_r_: 0, filter_s_: 1, filter_c_: 32

TB1 W2 T26: filter_r_: 0, filter_s_: 1, filter_c_: 64

TB1 W2 T27: filter_r_: 0, filter_s_: 1, filter_c_: 96

TB1 W2 T28: filter_r_: 0, filter_s_: 1, filter_c_: 0

TB1 W2 T29: filter_r_: 0, filter_s_: 1, filter_c_: 32

TB1 W2 T30: filter_r_: 0, filter_s_: 1, filter_c_: 64

TB1 W2 T31: filter_r_: 0, filter_s_: 1, filter_c_: 96

TB1 W3 T0: filter_r_: 0, filter_s_: 1, filter_c_: 0

TB1 W3 T1: filter_r_: 0, filter_s_: 1, filter_c_: 32

TB1 W3 T2: filter_r_: 0, filter_s_: 1, filter_c_: 64

TB1 W3 T3: filter_r_: 0, filter_s_: 1, filter_c_: 96

TB1 W3 T4: filter_r_: 0, filter_s_: 1, filter_c_: 0

*******************Dumping current state of indices*******************


TB1 W3 T5: filter_r_: 0, filter_s_: 1, filter_c_: 32

TB1 W3 T6: filter_r_: 0, filter_s_: 1, filter_c_: 64

TB1 W3 T7: filter_r_: 0, filter_s_: 1, filter_c_: 96

TB1 W3 T8: filter_r_: 0, filter_s_: 1, filter_c_: 0

TB1 W3 T9: filter_r_: 0, filter_s_: 1, filter_c_: 32

TB1 W3 T10: filter_r_: 0, filter_s_: 1, filter_c_: 64

TB1 W3 T11: filter_r_: 0, filter_s_: 1, filter_c_: 96

TB1 W3 T12: filter_r_: 0, filter_s_: 1, filter_c_: 0

TB1 W3 T13: filter_r_: 0, filter_s_: 1, filter_c_: 32

TB1 W3 T14: filter_r_: 0, filter_s_: 1, filter_c_: 64

TB1 W3 T15: filter_r_: 0, filter_s_: 1, filter_c_: 96

TB1 W3 T16: filter_r_: 0, filter_s_: 1, filter_c_: 0

TB1 W3 T17: filter_r_: 0, filter_s_: 1, filter_c_: 32

TB1 W3 T18: filter_r_: 0, filter_s_: 1, filter_c_: 64

TB1 W3 T19: filter_r_: 0, filter_s_: 1, filter_c_: 96

TB1 W3 T20: filter_r_: 0, filter_s_: 1, filter_c_: 0

TB1 W3 T21: filter_r_: 0, filter_s_: 1, filter_c_: 32

TB1 W3 T22: filter_r_: 0, filter_s_: 1, filter_c_: 64

TB1 W3 T23: filter_r_: 0, filter_s_: 1, filter_c_: 96

TB1 W3 T24: filter_r_: 0, filter_s_: 1, filter_c_: 0

*******************Dumping current state of indices*******************


TB1 W3 T25: filter_r_: 0, filter_s_: 1, filter_c_: 32

TB1 W3 T26: filter_r_: 0, filter_s_: 1, filter_c_: 64

TB1 W3 T27: filter_r_: 0, filter_s_: 1, filter_c_: 96

TB1 W3 T28: filter_r_: 0, filter_s_: 1, filter_c_: 0

TB1 W3 T29: filter_r_: 0, filter_s_: 1, filter_c_: 32

TB1 W3 T30: filter_r_: 0, filter_s_: 1, filter_c_: 64

TB1 W3 T31: filter_r_: 0, filter_s_: 1, filter_c_: 96


*******************Dumping current state of indices*******************

TB1 W0 T0: filter_r_: 0, filter_s_: 2, filter_c_: 0

TB1 W0 T1: filter_r_: 0, filter_s_: 2, filter_c_: 32

TB1 W0 T2: filter_r_: 0, filter_s_: 2, filter_c_: 64

TB1 W0 T3: filter_r_: 0, filter_s_: 2, filter_c_: 96

TB1 W0 T4: filter_r_: 0, filter_s_: 2, filter_c_: 0

TB1 W0 T5: filter_r_: 0, filter_s_: 2, filter_c_: 32

TB1 W0 T6: filter_r_: 0, filter_s_: 2, filter_c_: 64

TB1 W0 T7: filter_r_: 0, filter_s_: 2, filter_c_: 96

TB1 W0 T8: filter_r_: 0, filter_s_: 2, filter_c_: 0

TB1 W0 T9: filter_r_: 0, filter_s_: 2, filter_c_: 32

TB1 W0 T10: filter_r_: 0, filter_s_: 2, filter_c_: 64

TB1 W0 T11: filter_r_: 0, filter_s_: 2, filter_c_: 96

TB1 W0 T12: filter_r_: 0, filter_s_: 2, filter_c_: 0

TB1 W0 T13: 
*******************Dumping current state of indices*******************

filter_r_: 0, filter_s_: 2, filter_c_: 32

TB1 W0 T14: filter_r_: 0, filter_s_: 2, filter_c_: 64

TB1 W0 T15: filter_r_: 0, filter_s_: 2, filter_c_: 96

TB1 W0 T16: filter_r_: 0, filter_s_: 2, filter_c_: 0

TB1 W0 T17: filter_r_: 0, filter_s_: 2, filter_c_: 32

TB1 W0 T18: filter_r_: 0, filter_s_: 2, filter_c_: 64

TB1 W0 T19: filter_r_: 0, filter_s_: 2, filter_c_: 96

TB1 W0 T20: filter_r_: 0, filter_s_: 2, filter_c_: 0

TB1 W0 T21: filter_r_: 0, filter_s_: 2, filter_c_: 32

TB1 W0 T22: filter_r_: 0, filter_s_: 2, filter_c_: 64

TB1 W0 T23: filter_r_: 0, filter_s_: 2, filter_c_: 96

TB1 W0 T24: filter_r_: 0, filter_s_: 2, filter_c_: 0

TB1 W0 T25: filter_r_: 0, filter_s_: 2, filter_c_: 32

TB1 W0 T26: filter_r_: 0, filter_s_: 2, filter_c_: 64

TB1 W0 T27: filter_r_: 0, filter_s_: 2, filter_c_: 96

TB1 W0 T28: filter_r_: 0, filter_s_: 2, filter_c_: 0

TB1 W0 T29: filter_r_: 0, filter_s_: 2, filter_c_: 32

TB1 W0 T30: filter_r_: 0, filter_s_: 2, filter_c_: 64

TB1 W0 T31: filter_r_: 0, filter_s_: 2, filter_c_: 96

TB1 W1 T0: filter_r_: 0, filter_s_: 2, filter_c_: 0

TB1 W1 T1: filter_r_: 0, filter_s_: 2, filter_c_: 32

TB1 W1 T2: filter_r_: 0, filter_s_: 2, filter_c_: 64

TB1 W1 T3: filter_r_: 0, filter_s_: 2, filter_c_: 96

TB1 W1 T4: filter_r_: 0, filter_s_: 2, filter_c_: 0

TB1 W1 T5: filter_r_: 0, filter_s_: 2, filter_c_: 32

TB1 W1 T6: filter_r_: 0, filter_s_: 2, filter_c_: 64

TB1 W1 T7: filter_r_: 0, filter_s_: 2, filter_c_: 96

TB1 W1 T8: filter_r_: 0, filter_s_: 2, filter_c_: 0

TB1 W1 T9: filter_r_: 0, filter_s_: 2, filter_c_: 32

TB1 W1 T10: filter_r_: 0, filter_s_: 2, filter_c_: 64

TB1 W1 T11: filter_r_: 0, filter_s_: 2, filter_c_: 96

TB1 W1 T12: filter_r_: 0, filter_s_: 2, filter_c_: 0

TB1 W1 T13: filter_r_: 0, filter_s_: 2, filter_c_: 32

TB1 W1 T14: filter_r_: 0, filter_s_: 2, filter_c_: 64

TB1 W1 T15: filter_r_: 0, filter_s_: 2, filter_c_: 96

TB1 W1 T16: filter_r_: 0, filter_s_: 2, filter_c_: 0

TB1 W1 T17: filter_r_: 0, filter_s_: 2, filter_c_: 32

TB1 W1 T18: filter_r_: 0, filter_s_: 2, filter_c_: 64

TB1 W1 T19: filter_r_: 0, filter_s_: 2, filter_c_: 96

TB1 W1 T20: filter_r_: 0, filter_s_: 2, filter_c_: 0

TB1 W1 T21: filter_r_: 0, filter_s_: 2, filter_c_: 32

TB1 W1 T22: filter_r_: 0, filter_s_: 2, filter_c_: 64

TB1 W1 T23: filter_r_: 0, filter_s_: 2, filter_c_: 96

TB1 W1 T24: filter_r_: 0, filter_s_: 2, filter_c_: 0

TB1 W1 T25: filter_r_: 0, filter_s_: 2, filter_c_: 32

TB1 W1 T26: filter_r_: 0, filter_s_: 2, filter_c_: 64

TB1 W1 T27: filter_r_: 0, filter_s_: 2, filter_c_: 96

TB1 W1 T28: filter_r_: 0, filter_s_: 2, filter_c_: 0

TB1 W1 T29: filter_r_: 0, filter_s_: 2, filter_c_: 32

TB1 W1 T30: filter_r_: 0, filter_s_: 2, filter_c_: 64

TB1 W1 T31: filter_r_: 0, filter_s_: 2, filter_c_: 96

TB1 W2 T0: filter_r_: 0, filter_s_: 2, filter_c_: 0

TB1 W2 T1: filter_r_: 0, filter_s_: 2, filter_c_: 32

TB1 W2 T2: filter_r_: 0, filter_s_: 2, filter_c_: 64

TB1 W2 T3: filter_r_: 0, filter_s_: 2, filter_c_: 96

TB1 W2 T4: filter_r_: 0, filter_s_: 2, filter_c_: 0

TB1 W2 T5: filter_r_: 0, filter_s_: 2, filter_c_: 32

TB1 W2 T6: filter_r_: 0, filter_s_: 2, filter_c_: 64

TB1 W2 T7: filter_r_: 0, filter_s_: 2, filter_c_: 96

TB1 W2 T8: filter_r_: 0, filter_s_: 2, filter_c_: 0

TB1 W2 T9: filter_r_: 0, filter_s_: 2, filter_c_: 32

TB1 W2 T10: filter_r_: 0, filter_s_: 2, filter_c_: 64

TB1 W2 T11: filter_r_: 0, filter_s_: 2, filter_c_: 96

TB1 W2 T12: filter_r_: 0, filter_s_: 2, filter_c_: 0

TB1 W2 T13: filter_r_: 0, filter_s_: 2, filter_c_: 32

TB1 W2 T14: filter_r_: 0, filter_s_: 2, filter_c_: 64

TB1 W2 T15: filter_r_: 0, filter_s_: 2, filter_c_: 96

TB1 W2 T16: filter_r_: 0, filter_s_: 2, filter_c_: 0

TB1 W2 T17: filter_r_: 0, filter_s_: 2, filter_c_: 32

TB1 W2 T18: filter_r_: 0, filter_s_: 2, filter_c_: 64

TB1 W2 T19: filter_r_: 0, filter_s_: 2, filter_c_: 96

TB1 W2 T20: filter_r_: 0, filter_s_: 2, filter_c_: 0

TB1 W2 T21: filter_r_: 0, filter_s_: 2, filter_c_: 32

TB1 W2 T22: filter_r_: 0, filter_s_: 2, filter_c_: 64

TB1 W2 T23: filter_r_: 0, filter_s_: 2, filter_c_: 96

TB1 W2 T24: filter_r_: 0, filter_s_: 2, filter_c_: 0

TB1 W2 T25: filter_r_: 0, filter_s_: 2, filter_c_: 32

TB1 W2 T26: filter_r_: 0, filter_s_: 2, filter_c_: 64

TB1 W2 T27: filter_r_: 0, filter_s_: 2, filter_c_: 96

TB1 W2 T28: filter_r_: 0, filter_s_: 2, filter_c_: 0

TB1 W2 T29: filter_r_: 0, filter_s_: 2, filter_c_: 32

TB1 W2 T30: filter_r_: 0, filter_s_: 2, filter_c_: 64

TB1 W2 T31: filter_r_: 0, filter_s_: 2, filter_c_: 96

TB1 W3 T0: filter_r_: 0, filter_s_: 2, filter_c_: 0

TB1 W3 T1: filter_r_: 0, filter_s_: 2, filter_c_: 32

TB1 W3 T2: filter_r_: 0, filter_s_: 2, filter_c_: 64

TB1 W3 T3: filter_r_: 0, filter_s_: 2, filter_c_: 96

TB1 W3 T4: filter_r_: 0, filter_s_: 2, filter_c_: 0

TB1 W3 T5: filter_r_: 0, filter_s_: 2, filter_c_: 32

TB1 W3 T6: filter_r_: 0, filter_s_: 2, filter_c_: 64

TB1 W3 T7: filter_r_: 0, filter_s_: 2, filter_c_: 96

TB1 W3 T8: filter_r_: 0, filter_s_: 2, filter_c_: 0

TB1 W3 T9: filter_r_: 0, filter_s_: 2, filter_c_: 32

TB1 W3 T10: filter_r_: 0, filter_s_: 2, filter_c_: 64

TB1 W3 T11: filter_r_: 0, filter_s_: 2, filter_c_: 96

TB1 W3 T12: filter_r_: 0, filter_s_: 2, filter_c_: 0

TB1 W3 T13: filter_r_: 0, filter_s_: 2, filter_c_: 32

TB1 W3 T14: filter_r_: 0, filter_s_: 2, filter_c_: 64

TB1 W3 T15: filter_r_: 0, filter_s_: 2, filter_c_: 96

TB1 W3 T16: filter_r_: 0, filter_s_: 2, filter_c_: 0

TB1 W3 T17: filter_r_: 0, filter_s_: 2, filter_c_: 32

TB1 W3 T18: filter_r_: 0, filter_s_: 2, filter_c_: 64

TB1 W3 T19: filter_r_: 0, filter_s_: 2, filter_c_: 96

TB1 W3 T20: filter_r_: 0, filter_s_: 2, filter_c_: 0

TB1 W3 T21: filter_r_: 0, filter_s_: 2, filter_c_: 32

TB1 W3 T22: filter_r_: 0, filter_s_: 2, filter_c_: 64

TB1 W3 T23: filter_r_: 0, filter_s_: 2, filter_c_: 96

TB1 W3 T24: filter_r_: 0, filter_s_: 2, filter_c_: 0

TB1 W3 T25: filter_r_: 0, filter_s_: 2, filter_c_: 32

TB1 W3 T26: filter_r_: 0, filter_s_: 2, filter_c_: 64

TB1 W3 T27: filter_r_: 0, filter_s_: 2, filter_c_: 96

TB1 W3 T28: filter_r_: 0, filter_s_: 2, filter_c_: 0

TB1 W3 T29: filter_r_: 0, filter_s_: 2, filter_c_: 32

TB1 W3 T30: filter_r_: 0, filter_s_: 2, filter_c_: 64

TB1 W3 T31: filter_r_: 0, filter_s_: 2, filter_c_: 96

TB1 W0 T0: filter_r_: 1, filter_s_: 0, filter_c_: 0

TB1 W0 T1: filter_r_: 1, filter_s_: 0, filter_c_: 32

TB1 W0 T2: filter_r_: 1, filter_s_: 0, filter_c_: 64

TB1 W0 T3: filter_r_: 1, filter_s_: 0, filter_c_: 96

TB1 W0 T4: filter_r_: 1, filter_s_: 0, filter_c_: 0

TB1 W0 T5: filter_r_: 1, filter_s_: 0, filter_c_: 32

TB1 W0 T6: filter_r_: 1, filter_s_: 0, filter_c_: 64

TB1 W0 T7: filter_r_: 1, filter_s_: 0, filter_c_: 96

TB1 W0 T8: filter_r_: 1, filter_s_: 0, filter_c_: 0

TB1 W0 T9: filter_r_: 1, filter_s_: 0, filter_c_: 32

TB1 W0 T10: filter_r_: 1, filter_s_: 0, filter_c_: 64

TB1 W0 T11: filter_r_: 1, filter_s_: 0, filter_c_: 96

TB1 W0 T12: filter_r_: 1, filter_s_: 0, filter_c_: 0

TB1 W0 T13: filter_r_: 1, filter_s_: 0, filter_c_: 32

TB1 W0 T14: filter_r_: 1, filter_s_: 0, filter_c_: 64

TB1 W0 T15: filter_r_: 1, filter_s_: 0, filter_c_: 96

TB1 W0 T16: filter_r_: 1, filter_s_: 0, filter_c_: 0

TB1 W0 T17: filter_r_: 1, filter_s_: 0, filter_c_: 32

TB1 W0 T18: filter_r_: 1, filter_s_: 0, filter_c_: 64

TB1 W0 T19: filter_r_: 1, filter_s_: 0, filter_c_: 96

TB1 W0 T20: filter_r_: 1, filter_s_: 0, filter_c_: 0

TB1 W0 T21: filter_r_: 1, filter_s_: 0, filter_c_: 32

TB1 W0 T22: filter_r_: 1, filter_s_: 0, filter_c_: 64

TB1 W0 T23: filter_r_: 1, filter_s_: 0, filter_c_: 96

TB1 W0 T24: filter_r_: 1, filter_s_: 0, filter_c_: 0

TB1 W0 T25: filter_r_: 1, filter_s_: 0, filter_c_: 32

TB1 W0 T26: filter_r_: 1, filter_s_: 0, filter_c_: 64

TB1 W0 T27: filter_r_: 1, filter_s_: 0, filter_c_: 96

TB1 W0 T28: filter_r_: 1, filter_s_: 0, filter_c_: 0

TB1 W0 T29: filter_r_: 1, filter_s_: 0, filter_c_: 32

TB1 W0 T30: filter_r_: 1, filter_s_: 0, filter_c_: 64

TB1 W0 T31: filter_r_: 1, filter_s_: 0, filter_c_: 96

TB1 W1 T0: filter_r_: 1, filter_s_: 0, filter_c_: 0

TB1 W1 T1: filter_r_: 1, filter_s_: 0, filter_c_: 32

TB1 W1 T2: filter_r_: 1, filter_s_: 0, filter_c_: 64

TB1 W1 T3: filter_r_: 1, filter_s_: 0, filter_c_: 96

TB1 W1 T4: filter_r_: 1, filter_s_: 0, filter_c_: 0

TB1 W1 T5: filter_r_: 1, filter_s_: 0, filter_c_: 32

TB1 W1 T6: filter_r_: 1, filter_s_: 0, filter_c_: 64

TB1 W1 T7: filter_r_: 1, filter_s_: 0, filter_c_: 96

TB1 W1 T8: filter_r_: 1, filter_s_: 0, filter_c_: 0

TB1 W1 T9: filter_r_: 1, filter_s_: 0, filter_c_: 32

TB1 W1 T10: filter_r_: 1, filter_s_: 0, filter_c_: 64

TB1 W1 T11: filter_r_: 1, filter_s_: 0, filter_c_: 96

TB1 W1 T12: filter_r_: 1, filter_s_: 0, filter_c_: 0

TB1 W1 T13: filter_r_: 1, filter_s_: 0, filter_c_: 32

TB1 W1 T14: filter_r_: 1, filter_s_: 0, filter_c_: 64

TB1 W1 T15: filter_r_: 1, filter_s_: 0, filter_c_: 96

TB1 W1 T16: filter_r_: 1, filter_s_: 0, filter_c_: 0

TB1 W1 T17: filter_r_: 1, filter_s_: 0, filter_c_: 32

TB1 W1 T18: filter_r_: 1, filter_s_: 0, filter_c_: 64

TB1 W1 T19: filter_r_: 1, filter_s_: 0, filter_c_: 96

TB1 W1 T20: filter_r_: 1, filter_s_: 0, filter_c_: 0

TB1 W1 T21: filter_r_: 1, filter_s_: 0, filter_c_: 32

TB1 W1 T22: filter_r_: 1, filter_s_: 0, filter_c_: 64

TB1 W1 T23: filter_r_: 1, filter_s_: 0, filter_c_: 96

TB1 W1 T24: filter_r_: 1, filter_s_: 0, filter_c_: 0

TB1 W1 T25: filter_r_: 1, filter_s_: 0, filter_c_: 32

TB1 W1 T26: filter_r_: 1, filter_s_: 0, filter_c_: 64

TB1 W1 T27: filter_r_: 1, filter_s_: 0, filter_c_: 96

TB1 W1 T28: filter_r_: 1, filter_s_: 0, filter_c_: 0

TB1 W1 T29: filter_r_: 1, filter_s_: 0, filter_c_: 32

TB1 W1 T30: filter_r_: 1, filter_s_: 0, filter_c_: 64

TB1 W1 T31: filter_r_: 1, filter_s_: 0, filter_c_: 96

TB1 W2 T0: filter_r_: 1, filter_s_: 0, filter_c_: 0

TB1 W2 T1: filter_r_: 1, filter_s_: 0, filter_c_: 32

TB1 W2 T2: filter_r_: 1, filter_s_: 0, filter_c_: 64

TB1 W2 T3: filter_r_: 1, filter_s_: 0, filter_c_: 96

TB1 W2 T4: filter_r_: 1, filter_s_: 0, filter_c_: 0

TB1 W2 T5: filter_r_: 1, filter_s_: 0, filter_c_: 32

TB1 W2 T6: filter_r_: 1, filter_s_: 0, filter_c_: 64

TB1 W2 T7: filter_r_: 1, filter_s_: 0, filter_c_: 96

TB1 W2 T8: filter_r_: 1, filter_s_: 0, filter_c_: 0

TB1 W2 T9: filter_r_: 1, filter_s_: 0, filter_c_: 32

TB1 W2 T10: filter_r_: 1, filter_s_: 0, filter_c_: 64

TB1 W2 T11: filter_r_: 1, filter_s_: 0, filter_c_: 96

TB1 W2 T12: filter_r_: 1, filter_s_: 0, filter_c_: 0

TB1 W2 T13: filter_r_: 1, filter_s_: 0, filter_c_: 32

TB1 W2 T14: filter_r_: 1, filter_s_: 0, filter_c_: 64

TB1 W2 T15: filter_r_: 1, filter_s_: 0, filter_c_: 96

TB1 W2 T16: filter_r_: 1, filter_s_: 0, filter_c_: 0

TB1 W2 T17: filter_r_: 1, filter_s_: 0, filter_c_: 32

TB1 W2 T18: filter_r_: 1, filter_s_: 0, filter_c_: 64

TB1 W2 T19: filter_r_: 1, filter_s_: 0, filter_c_: 96

TB1 W2 T20: filter_r_: 1, filter_s_: 0, filter_c_: 0

TB1 W2 T21: filter_r_: 1, filter_s_: 0, filter_c_: 32

TB1 W2 T22: filter_r_: 1, filter_s_: 0, filter_c_: 64

TB1 W2 T23: filter_r_: 1, filter_s_: 0, filter_c_: 96

TB1 W2 T24: filter_r_: 1, filter_s_: 0, filter_c_: 0

TB1 W2 T25: filter_r_: 1, filter_s_: 0, filter_c_: 32

TB1 W2 T26: filter_r_: 1, filter_s_: 0, filter_c_: 64

TB1 W2 T27: filter_r_: 1, filter_s_: 0, filter_c_: 96

TB1 W2 T28: filter_r_: 1, filter_s_: 0, filter_c_: 0

TB1 W2 T29: filter_r_: 1, filter_s_: 0, filter_c_: 32

TB1 W2 T30: filter_r_: 1, filter_s_: 0, filter_c_: 64

TB1 W2 T31: filter_r_: 1, filter_s_: 0, filter_c_: 96

TB1 W3 T0: filter_r_: 1, filter_s_: 0, filter_c_: 0

TB1 W3 T1: filter_r_: 1, filter_s_: 0, filter_c_: 32

TB1 W3 T2: filter_r_: 1, filter_s_: 0, filter_c_: 64

TB1 W3 T3: filter_r_: 1, filter_s_: 0, filter_c_: 96

TB1 W3 T4: filter_r_: 1, filter_s_: 0, filter_c_: 0

TB1 W3 T5: filter_r_: 1, filter_s_: 0, filter_c_: 32

TB1 W3 T6: filter_r_: 1, filter_s_: 0, filter_c_: 64

TB1 W3 T7: filter_r_: 1, filter_s_: 0, filter_c_: 96

TB1 W3 T8: filter_r_: 1, filter_s_: 0, filter_c_: 0

TB1 W3 T9: filter_r_: 1, filter_s_: 0, filter_c_: 32

